,Abbreviation,Campaign Success Rate,State,id
0,AL,0.4188034188034188,Alabama,1
1,AK,0.5524079320113314,Alaska,2
2,AZ,0.4613413071337035,Arizona,4
3,AR,0.404296875,Arkansas,5
4,CA,0.5898519182349677,California,6
5,CO,0.5340755735492577,Colorado,8
6,CT,0.5469314079422383,Connecticut,9
7,DE,0.4716312056737589,Delaware,10
8,DC,0.5664652567975831,District of Columbia,11
9,FL,0.3694986296953087,Florida,12
10,GA,0.4146706586826348,Georgia,13
11,HI,0.4693520140105079,Hawaii,15
12,ID,0.4863123993558776,Idaho,16
13,IL,0.5709515859766278,Illinois,17
14,IN,0.4362057448229793,Indiana,18
15,IA,0.5060422960725075,Iowa,19
16,KS,0.4141914191419142,Kansas,20
17,KY,0.4544491525423729,Kentucky,21
18,LA,0.5145888594164456,Louisiana,22
19,ME,0.5887850467289719,Maine,23
20,MD,0.5095828635851184,Maryland,24
21,MA,0.6710897797854319,Massachusetts,25
22,MI,0.5133264105226722,Michigan,26
23,MN,0.6237580993520518,Minnesota,27
24,MS,0.40762463343108507,Mississippi,28
25,MO,0.4966092853416797,Missouri,29
26,MT,0.5925925925925926,Montana,30
27,NE,0.44038929440389296,Nebraska,31
28,NV,0.4997046662728883,Nevada,32
29,NH,0.5353728489483748,New Hampshire,33
30,NJ,0.4728990551964197,New Jersey,34
31,NM,0.5298804780876494,New Mexico,35
32,NY,0.6532649572649573,New York,36
33,NC,0.4728601252609603,North Carolina,37
34,ND,0.4640522875816994,North Dakota,38
35,OH,0.4698940998487141,Ohio,39
36,OK,0.4522968197879858,Oklahoma,40
37,OR,0.6318611987381704,Oregon,41
38,PA,0.5615615615615616,Pennsylvania,42
39,RI,0.6113445378151261,Rhode Island,44
40,SC,0.4558232931726908,South Carolina,45
41,SD,0.38235294117647056,South Dakota,46
42,TN,0.5944773175542406,Tennessee,47
43,TX,0.4883187035786631,Texas,48
44,UT,0.547783251231527,Utah,49
45,VT,0.7356746765249538,Vermont,50
46,VA,0.4851444851444852,Virginia,51
47,WA,0.6217454194792671,Washington,53
48,WV,0.4485049833887043,West Virginia,54
49,WI,0.5331680099194048,Wisconsin,55
50,WY,0.5359477124183006,Wyoming,56
